,0
0,17896.237405964297
1,18685.72578963621
2,20034.950870565375
3,21127.61486987145
4,21546.783386846626
5,21076.049051159724
6,21193.611872039968
7,19259.47099970508
8,19542.539568932913
9,21082.389110837394
10,21280.017828218515
11,21437.009782141802
12,22728.087458598613
13,24596.412473327207
14,26779.9894078379
15,24554.024645767913
16,25295.630483493223
17,22758.217837447733
18,22128.861246777575
19,23664.00103006436
20,27718.982436861366
21,27813.17760921534
22,28733.39198528876
23,28056.998189962356
24,37041.708094512775
25,36922.93764321774
26,40302.79326662388
27,37929.859883073404
28,37320.368812726614
29,41372.08961740368
30,42164.11402494666
31,45172.44215124127
32,45055.24161948546
33,49937.32909737523
34,47960.800397481056
