,0
0,16742.231279533728
1,16099.838824107288
2,15884.146459230604
3,18087.410052552077
4,17869.49293623893
5,18268.284153077602
6,19172.654655705206
7,16741.742919462307
8,18991.78055517968
9,18087.410052552077
10,18449.15825360312
11,18810.90645465416
12,20257.899258858328
13,21524.017962536967
14,22790.136666215614
15,21885.76616358801
16,22247.51436463905
17,22790.13666621561
18,19715.27695728176
19,18810.906454654156
20,20077.0251583328
21,21343.14386201144
22,21704.892063062478
23,22247.51436463904
24,23332.758967792164
25,22971.01076674112
26,25864.99637514945
27,37079.19060773173
28,44495.028729278085
29,41962.79132192079
30,47569.88843821193
31,43771.53232717599
32,94416.28047432176
33,77233.2409243973
34,71626.14380810616
