,0
0,17297.59259044863
1,19355.663096960932
2,21046.22101302461
3,23680.061244573088
4,24415.086425470337
5,31569.331519536907
6,35575.21875542692
7,26840.669522431264
8,26338.40231548481
9,26509.908191027505
10,27440.94008683069
11,29376.506396526787
12,31581.581939218537
13,39544.354732272084
14,32916.8776845152
15,32439.11131693199
16,29805.271085383505
17,28298.469464544145
18,25627.877973950803
19,28469.975340086836
20,28653.73163531115
21,31152.817250361797
22,35526.217076700435
23,33431.39531114327
24,38993.08584659913
25,39728.11102749639
26,41982.18824891462
27,44505.774703328505
28,40720.39502170767
29,43219.48063675832
30,36175.48931982634
31,41884.18489146164
32,38797.07913169319
33,41308.41516642546
34,38748.0774529667
