,0
0,17932.848923076926
1,17799.021692307695
2,21412.356923076924
3,21546.184153846152
4,21947.665846153846
5,21546.184153846152
6,18601.98507692308
7,17397.54
8,17799.02169230769
9,19672.60292307692
10,18869.639538461535
11,19538.77569230769
12,20609.393538461536
13,23419.76538461538
14,23018.28369230769
15,25025.692153846154
16,24088.901538461538
17,23285.938153846153
18,24624.210461538456
19,26765.44615384615
20,28772.85461538461
21,27702.236769230763
22,31449.399230769228
23,34795.08
24,38542.24246153846
25,39479.03307692308
26,47374.839692307694
27,46036.56738461538
28,44162.98615384615
29,45501.258461538455
30,36133.35230769231
31,40817.305384615385
32,38140.76076923077
33,43226.19553846154
34,43493.850000000006
