,0
0,22448.59100468492
1,19394.719485458092
2,19119.547574433287
3,18660.879109215457
4,18882.440041603033
5,19798.639415908747
6,18804.007004848136
7,16209.533153486545
8,16613.482252043097
9,18975.80714857679
10,20575.298571607014
11,20864.062819979452
12,23623.744823137153
13,21894.45532886881
14,25581.3039141492
15,26024.659123771526
16,24574.18755376501
17,24550.73639662446
18,20888.65153324995
19,23194.011118968356
20,24172.426063150673
21,27318.031275421068
22,26648.039882985224
23,33251.64072167438
24,30918.192249977936
25,30918.192249977936
26,33251.64072167438
27,30043.149073091765
28,31793.2354268641
29,31793.2354268641
30,25839.82083670726
31,32668.278603750266
32,32084.916485826154
33,34710.04601648465
34,35585.089193370826
