,0
0,17657.38333333333
1,17791.151388888888
2,17026.762499999997
3,16682.7875
4,18096.906944444443
5,18823.076388888887
6,20218.086111111108
7,18937.73472222222
8,21078.023611111108
9,21785.083333333332
10,21689.53472222222
11,21899.74166666667
12,23524.06805555556
13,25167.50416666667
14,30269.800000000007
15,31263.505555555563
16,32906.94166666667
17,31091.518055555563
18,29944.934722222228
19,30155.141666666674
20,31339.94444444445
21,29295.204166666674
22,30671.104166666675
23,30288.909722222226
24,32524.747222222228
25,33098.0388888889
26,36136.48472222224
27,36079.15555555557
28,34856.133333333346
29,34932.57222222224
30,30556.445833333346
31,31588.37083333335
32,32314.540277777793
33,33117.14861111112
34,35047.23055555557
