,0
0,17095.647023197544
1,16634.131559894595
2,16722.971404380318
3,17663.318571860553
4,18863.409352455827
5,21019.657781329643
6,20277.318063847244
7,18231.74300056157
8,18309.289644477078
9,20996.31850015119
10,24689.195086612806
11,48849.86838653936
12,38798.919879044435
13,35054.84744999783
14,39045.111651475214
15,40675.096933776826
16,48935.69671087303
17,48584.85461315822
18,41081.65215430471
19,49976.92980344722
20,53420.603097326006
21,55648.375129811204
22,57693.19731305887
23,53606.56446671561
24,66134.48829927856
25,60376.4617685429
26,76567.8998660849
27,76494.11762235948
28,66659.24568577475
29,81370.52162858006
30,95688.04131150372
31,87902.50883839474
32,88414.46726424467
33,89997.77398418938
34,82224.28759168863
