,0
0,17860.93290502793
1,18836.940167597764
2,18153.735083798878
3,19422.544525139663
4,19715.34670391061
5,21472.15977653631
6,20593.75324022346
7,17372.929273743015
8,19422.544525139663
9,20300.951061452513
10,20496.15251396648
11,20691.35396648045
12,25083.386648044696
13,23814.57720670391
14,21374.559050279327
15,20984.156145251396
16,20886.555418994416
17,19617.74597765363
18,17177.72782122905
19,18446.537262569836
20,20300.951061452517
21,22936.170670391064
22,23228.97284916201
23,23033.771396648044
24,25668.99100558659
25,28597.01279329609
26,33477.04910614525
27,37673.88033519552
28,43237.12173184357
29,37673.88033519552
30,27913.8077094972
31,48995.56458100557
32,46360.344972067025
33,54558.80597765362
34,72517.33960893852
