,0
0,19540.18307322678
1,20389.676821268145
2,19927.47914760263
3,20418.90671367387
4,24337.5391643163
5,27096.11026010654
6,25534.13788467564
7,22276.831749712725
8,23551.985805912453
9,24973.28932414081
10,25546.925962603145
11,26654.008137469962
12,30706.00197221351
13,31930.00371670322
14,50885.58894181551
15,44487.89624151258
16,46068.13729969706
17,46223.421103102475
18,46769.65471743445
19,68134.87919774365
20,59466.38923117099
21,54771.33776350151
22,55465.54770813747
23,52765.43639715868
24,56716.95247675755
25,59219.762013997715
26,68027.09396949755
27,66737.32496709496
28,65169.87198683798
29,126673.2193450329
30,83666.91327483548
31,108950.7702057871
32,116110.26697691425
33,117178.98491799853
34,102056.16933458687
