,0
0,18261.12088582641
1,17987.095319634704
2,17642.578819845592
3,18669.142731198768
4,19322.61273725037
5,21554.19058104564
6,22647.276341897268
7,18308.908658377804
8,18601.827064880526
9,20964.702210669162
10,20711.950935247838
11,22672.20219003869
12,24312.545266453944
13,25427.222844803877
14,27480.35066751023
15,30802.79158506171
16,30218.542405695844
17,28530.88784682108
18,30502.09377372504
19,34639.46703847353
20,31792.204869248682
21,31574.54029726211
22,31133.971962278338
23,30778.81831710403
24,35031.1362573582
25,38411.68456611835
26,39348.70594019915
27,36968.52558773908
28,35979.9061203719
29,36637.503973886414
30,33807.86453806092
31,38161.314741156406
32,41624.419999174774
33,48071.16515605801
34,46421.77256789715
