,0
0,17450.532967866504
1,17129.69483691905
2,17438.44866914909
3,18209.628332299002
4,18170.555766446018
5,19192.08181802511
6,18978.391135705435
7,17823.333583298867
8,17636.228358157507
9,18169.145931595653
10,17626.359514204945
11,17157.891533926362
12,18275.48776030893
13,19296.409596952148
14,19663.168063025798
15,18334.700824024276
16,17988.082855812994
17,18487.768607778242
18,17499.0715677148
19,19177.98346952145
20,18137.323944973108
21,18317.98421079851
22,20289.134736588057
23,20970.89058922907
24,24166.986195007587
25,26564.108250586123
26,30666.324855192383
27,33012.0886412219
28,30202.48918942214
29,37538.866940766784
30,32031.246395324775
31,34469.455066542534
32,37105.4434267687
33,38813.357645497155
34,37121.15301510135
