,0
0,17786.162323093045
1,17861.099970216757
2,18256.924465280463
3,20594.40261210083
4,23717.765314654465
5,23089.44196569412
6,22818.513549169933
7,21761.700576912473
8,22962.624409023225
9,28677.100371739012
10,56553.90510175943
11,106570.94160057363
12,79913.31474491206
13,62302.96767084002
14,59751.244712371095
15,67537.07410071151
16,126849.2610600629
17,113096.2813347306
18,104317.04775246819
19,93035.08890408694
20,116087.0620462192
21,116953.64868347032
22,124753.88915779607
23,121559.43176438149
24,134521.72323865208
25,128276.91931167617
26,142710.102295516
27,202815.8597231262
28,235024.6369003365
29,349772.4286889858
30,419190.62988031557
31,344077.1675075838
32,316651.91013843706
33,315486.53365175676
34,298003.00413435564
