,0
0,16676.209259259256
1,16392.358888888884
2,16676.209259259256
3,17172.947407407402
4,17172.947407407402
5,17882.57333333333
6,19656.638148148148
7,22140.32888888889
8,23275.730370370373
9,26327.12185185185
10,34487.82
11,50028.62777777778
12,45203.171481481484
13,41158.30370370371
14,34629.74518518519
15,26610.972222222223
16,35339.37111111111
17,34629.74518518518
18,30513.91481481481
19,39313.27629629629
20,40448.67777777777
21,42364.667777777766
22,50383.44074074072
23,45061.24629629628
24,44280.65777777777
25,44209.69518518518
26,49460.92703703702
27,43641.99444444443
28,44138.732592592576
29,51093.066666666644
30,39880.97703703702
31,43145.25629629628
32,44280.657777777764
33,51376.91703703701
34,48467.450740740715
