,0
0,17412.442926829266
1,17272.019999999997
2,17552.865853658535
3,18254.980487804878
4,19940.055609756095
5,20923.016097560976
6,21484.70780487805
7,18114.55756097561
8,17833.71170731707
9,19378.363902439018
10,19940.055609756095
11,20080.478536585364
12,22046.39951219512
13,27242.047804878046
14,27242.047804878046
15,28786.699999999997
16,25135.703902439025
17,23169.78292682927
18,21203.861951219515
19,22748.51414634147
20,30471.77512195122
21,32999.38780487805
22,33701.50243902439
23,33841.92536585367
24,38054.61317073172
25,37212.07560975611
26,39177.996585365865
27,38616.30487804879
28,36931.229756097564
29,41284.34048780488
30,31735.581463414637
31,35667.423414634155
32,39177.996585365865
33,45918.29707317075
34,45356.60536585368
