,0
0,17361.764717639595
1,18777.57859771574
2,20121.21373096447
3,20471.003042512693
4,21248.312623730966
5,24196.53682106599
6,24723.996894035532
7,22164.427487309647
8,23391.466183375636
9,23613.55463515229
10,23563.584733502543
11,23613.554635152293
12,29010.304013324883
13,26633.95757931473
14,29832.03128489849
15,30698.17624682742
16,30814.772684010164
17,28871.498730964482
18,27050.37342639595
19,26117.601928934022
20,29559.972931472093
21,28138.606840101533
22,32102.885704314736
23,32391.600691624382
24,47460.30214467007
25,47693.49501903556
26,64783.20138324876
27,56721.390583756365
28,72073.25481281728
29,116502.04959073607
30,83344.24374048227
31,117862.34135786808
32,137655.97462246197
33,139277.22032043152
34,114481.04467956856
