,0
0,18908.671573426574
1,19826.568251748256
2,19520.602692307697
3,21723.554720279724
4,22151.906503496506
5,21784.74783216783
6,23253.382517482514
7,21172.816713286713
8,20866.851153846157
9,21907.134055944058
10,22702.64451048951
11,26251.845
12,26863.776118881116
13,30229.397272727274
14,29250.30748251748
15,29127.921258741255
16,29801.04548951049
17,27720.479685314687
18,27047.355454545454
19,28210.02458041958
20,31514.45262237762
21,35430.81178321678
22,35002.45999999999
23,37633.7638111888
24,41856.088531468515
25,43385.91632867131
26,44487.39234265732
27,41182.96430069928
28,39163.59160839159
29,39408.36405594404
30,31575.64573426572
31,35308.42555944054
32,38000.92248251746
33,54829.02825174823
34,48158.97905594403
