,0
0,16271.725738030249
1,16450.767253109596
2,18301.584321627677
3,19912.56445950649
4,19351.043048477408
5,20917.55793096289
6,20670.146166993345
7,17859.58787808288
8,17897.46204473428
9,19014.9958970977
10,19586.84662630444
11,19739.523786416063
12,21533.77554110412
13,22740.731776548382
14,22292.734491014668
15,19717.684656554735
16,22301.8833156863
17,20420.275041552926
18,17473.468127156255
19,18921.835284581128
20,19416.560438061377
21,20486.874550184086
22,21460.48656927218
23,21514.592521631323
24,24415.950436046318
25,24506.553312633176
26,29235.020050987052
27,28858.836120402746
28,32398.05402590263
29,31852.272528287118
30,27381.448497621604
31,40427.08223262315
32,36752.20594839007
33,44311.49611417437
34,38861.05922243184
