,0
0,18498.1348987715
1,18207.22201769042
2,18842.794147911547
3,19576.474727764125
4,20045.689052088448
5,21450.772674201467
6,21399.585657002448
7,18829.997393611786
8,19070.57637444717
9,20462.010125307123
10,22791.019407862404
11,24894.80581474201
12,26275.14904520884
13,24860.68113660933
14,26837.353117444713
15,23770.397670270264
16,23610.011683046676
17,23517.02193513513
18,20943.16808697788
19,22408.823012776407
20,24089.463410810808
21,26330.601647174444
22,27134.237817199013
23,26802.37532235872
24,32224.78667764127
25,37155.80266781326
26,38009.77273808352
27,34320.89503194102
28,38205.98963734642
29,45769.724545454534
30,35887.217758230945
31,45213.492291891875
32,48841.79869434887
33,49500.40498230956
34,45475.39919656018
