,0
0,18982.192125136124
1,17880.00032432177
2,18858.221203778234
3,20074.18984908385
4,21042.900817906353
5,22244.570388949393
6,24069.24173145212
7,19225.823720586155
8,19472.53406408315
9,21090.997704062313
10,21967.004148359458
11,27211.54882143365
12,33895.30558153024
13,33916.788401235746
14,28248.950080015158
15,24642.436201174194
16,27078.27323931159
17,24765.312456559826
18,24478.373138582458
19,27119.665296387488
20,31515.022841484777
21,38203.15826547039
22,44959.3682296056
23,41457.121284621935
24,40703.30692947776
25,41888.55651093697
26,49080.64878189952
27,49436.89413924529
28,47969.425986814065
29,47703.695822049136
30,37291.438343828406
31,45811.223605889856
32,50197.89223983237
33,75258.2855925382
34,78679.11675583538
