,0
0,17928.715139674558
1,17556.55934527551
2,17444.498016621277
3,17283.173601159302
4,17562.046570291226
5,20573.55759724842
6,19752.42485823033
7,21517.96999161953
8,21198.0038040366
9,22542.13005621902
10,21720.387625532516
11,22147.29373175502
12,23704.080437879747
13,25524.497821426085
14,28506.012018297377
15,31944.30721314339
16,28527.107350024457
17,28927.796714505217
18,28727.45203226484
19,30717.363699629874
20,31572.76111041275
21,33413.90801068512
22,34273.20744814585
23,34681.82280431596
24,40677.774548152825
25,39283.897455827944
26,42892.90631782948
27,41289.90498323908
28,40735.32944165098
29,42465.146643271204
30,32915.3021642573
31,41821.06836476013
32,47976.271572386366
33,45227.78153118237
34,45406.78700502831
