,0
0,18302.850564380024
1,17851.223574326996
2,18245.3720187209
3,19330.779231653163
4,21817.72565864286
5,21448.594854625764
6,21909.181330213185
7,19477.576956178258
8,19652.83827705493
9,23085.286104401326
10,22123.519791843722
11,22440.75449888082
12,25457.06868271429
13,27645.8709987671
14,25814.345398178186
15,27724.714471469782
16,25469.129528625977
17,22703.680939755573
18,19969.177035538585
19,23507.34679219085
20,25447.144329506962
21,24247.813812048887
22,30754.467883604855
23,30002.767047269073
24,31345.656090635963
25,30630.758064110698
26,35019.25191709658
27,48067.846649390136
28,78567.79622469867
29,71675.8842751637
30,75121.84024993119
31,88905.66414900114
32,79256.98741965217
33,65377.77945920067
34,77189.4138347917
