,0
0,17718.871935483872
1,16312.612258064517
2,16031.360322580646
3,16781.365483870966
4,16781.365483870966
5,16593.864193548387
6,20343.89
7,17718.871935483872
8,20531.39129032258
9,23437.66129032258
10,24281.417096774192
11,26062.67935483871
12,30187.707741935483
13,41812.78774193548
14,37406.507419354835
15,36656.502258064516
16,34500.23741935484
17,37031.504838709676
18,36000.247741935484
19,38625.265806451614
20,41156.533225806445
21,37875.26064516129
22,37031.504838709676
23,35531.49451612903
24,34593.988064516125
25,34125.23483870967
26,38156.512580645154
27,33843.98290322579
28,31406.466129032244
29,32062.720645161273
30,24562.66903225805
31,29437.702580645146
32,32156.471290322566
33,38344.01387096772
34,36000.24774193546
