,0
0,20136.29903168744
1,17472.8399625763
2,19619.527070828943
3,23304.18356867998
4,24426.764699366388
5,25266.148147390737
6,24247.146969805417
7,21369.405017774552
8,22041.27979665777
9,21790.72909061783
10,26398.1672222279
11,25659.277104060366
12,26736.567974451
13,29260.357341758776
14,28621.663762751494
15,21416.832171085593
16,27593.877580547854
17,32060.57756384693
18,25990.080014451403
19,27057.99229883059
20,29635.738214773843
21,31629.8155468529
22,30955.388367979223
23,27073.544131330586
24,24368.475006561075
25,26187.44582766695
26,32913.55402577395
27,32257.053004972786
28,29595.730828876913
29,33138.10586679482
30,24691.858149538
31,27565.326315538336
32,26959.45778757111
33,33464.694349294645
34,31663.115463007463
