,0
0,19869.169444444447
1,18173.020833333336
2,19021.09513888889
3,20232.629861111112
4,20474.93680555556
5,21686.471527777783
6,22898.006250000006
7,19384.55555555556
8,18899.94166666667
9,21686.47152777778
10,24836.46180555556
11,25442.22916666667
12,30046.06111111111
13,32105.67013888889
14,29319.14027777778
15,27744.145138888893
16,31863.363194444446
17,29197.98680555556
18,26290.303472222222
19,28955.67986111111
20,31378.749305555557
21,33438.35833333334
22,33922.972222222226
23,32832.59097222223
24,34044.12569444445
25,37678.72986111111
26,41313.33402777778
27,43736.40347222223
28,45553.70555555556
29,43251.789583333346
30,34407.586111111115
31,41313.33402777778
32,39738.338888888895
33,50642.15138888889
34,52459.45347222223
