,0
0,62633.35655887527
1,71081.27075145315
2,64810.33407283038
3,66680.11132807216
4,66097.58306979212
5,66599.26915472654
6,68673.10320613727
7,62157.13111244279
8,61051.91638856615
9,68951.03302277716
10,70068.9780659048
11,72262.86739083564
12,79185.00171406307
13,83740.13295495402
14,87556.16230298177
15,75563.36527021807
16,81394.31609735641
17,81740.26484605263
18,81340.23547104937
19,85964.77947457155
20,91339.94770370964
21,94780.47909485281
22,108718.78484409586
23,99426.58101126716
24,118940.20906020743
25,114294.10714379308
26,120798.64982677317
27,116152.5479103588
28,109648.0052273787
29,122657.0905933389
30,97568.1402447014
31,127303.19250975325
32,119869.42944349028
33,125444.75174318752
34,122657.0905933389
