,0
0,57033.481785149685
1,54543.498484361764
2,54137.93346267184
3,55411.57032161783
4,72965.91191946276
5,70817.11455096182
6,64879.712358067016
7,54894.678282512745
8,55948.68250793611
9,70296.73627957859
10,65373.13043316596
11,65949.63704422719
12,69216.81772755441
13,72906.64597073442
14,72864.81118339677
15,68411.26565581959
16,70056.65108335756
17,67580.61271168219
18,63303.35432963612
19,70229.91682758095
20,75944.4325701602
21,71132.50236439057
22,70329.27444750785
23,76895.82535886376
24,86222.19394933537
25,92585.8461421037
26,95261.41320783111
27,94951.13853507693
28,88550.64848790294
29,89891.56962981696
30,77278.14883203276
31,86242.06547332075
32,84411.5611118137
33,94630.63758097355
34,97304.11290733407
