,0
0,56712.68108470659
1,60036.93119874406
2,60289.23325868127
3,61522.73705557503
4,66082.19571015447
5,68726.25310855043
6,70309.95995775083
7,60700.56354751714
8,58989.97506392746
9,65803.34835626636
10,69369.18499873791
11,70836.72574505217
12,77963.77186866435
13,78771.82035792268
14,91195.99206618167
15,168258.9286841629
16,126780.56744440964
17,114897.77361186533
18,110238.22215165442
19,118598.77207216035
20,119456.25812721721
21,129616.04320102044
22,132286.8894281742
23,127637.07936023887
24,126864.83048759324
25,123369.61893911958
26,132667.04726172824
27,124515.20667072631
28,117598.08755065264
29,119897.78673210726
30,103970.12329194038
31,122599.07481012217
32,139345.50227105053
33,134351.82105578767
34,132194.8332711701
