,0
0,54191.977244961505
1,54874.864669214876
2,57547.15451984261
3,59563.05926640614
4,61655.425675875704
5,62954.450891856286
6,64445.74138722168
7,53932.962333050535
8,55951.58315590675
9,67132.84619944583
10,62548.10941740301
11,61062.662601333985
12,68851.8755766853
13,72659.97914970624
14,75245.1076429416
15,74069.21121889581
16,65581.80202564149
17,66511.11164444887
18,58154.07411324316
19,61466.287999494576
20,66578.51971971264
21,65553.81820929267
22,75437.86675437963
23,72610.76055506918
24,78877.65392104478
25,78353.94502861088
26,84774.5024684784
27,82305.34220240622
28,82184.60026539529
29,86420.60931252653
30,79578.15468852948
31,92181.98326669498
32,94651.14353276716
33,122634.9598815853
34,127573.28041372966
