,0
0,56014.115592333415
1,58557.86342530984
2,58020.96628574001
3,63273.249958031185
4,65653.76859013466
5,67510.7512723714
6,65354.477940785066
7,58918.392860798675
8,56162.42479803789
9,60319.31360116938
10,59949.87670587849
11,64143.73146718857
12,70372.27273378673
13,74253.69834253917
14,95857.18328699704
15,96572.00693611322
16,84693.46391706142
17,85053.54797956014
18,78864.19953609111
19,84608.39767595165
20,86710.33550274535
21,98679.95729827331
22,94501.24521862676
23,90811.10730912379
24,94870.68211391765
25,98218.99625351613
26,106511.17326975909
27,100342.98004331999
28,102238.48748920069
29,102782.06522362209
30,82954.05970421204
31,112653.31217627718
32,111483.0946447801
33,135043.32582125792
34,282811.8487157545
