,0
0,58772.4809730873
1,55110.02083873197
2,70590.55981410087
3,70426.73139876095
4,70369.17618783934
5,70119.24155143557
6,75794.09471018052
7,65037.61493675681
8,65802.14754167639
9,73151.08691415748
10,82628.43611414584
11,79600.44287183993
12,97063.69088486329
13,100082.84690974421
14,98753.41217558207
15,120131.77410318759
16,111030.79972737569
17,106722.0897444043
18,101291.05314846119
19,113376.96765604705
20,119754.03970709957
21,119791.65452998536
22,123850.20328123443
23,122676.89272158017
24,131747.05013406396
25,133725.90705130238
26,145243.0673092297
27,133019.60944326024
28,125689.02429158485
29,132108.46966721353
30,103257.67391849587
31,116661.91998963298
32,183213.6448452021
33,200685.5034803318
34,174145.7533859042
