,0
0,57705.081047056185
1,59902.26354880507
2,59948.65210383031
3,62027.201579613014
4,63033.87124706654
5,64893.40590568087
6,65881.63422134158
7,51529.3194837776
8,53766.4265615728
9,68096.49760676811
10,66317.57256836157
11,64736.55935692749
12,72256.44831376537
13,110647.92063990215
14,88261.07014856042
15,92170.63672863867
16,97961.4113086135
17,128529.37778293161
18,107535.8949956063
19,116428.23878329343
20,120439.13773971781
21,115249.13297072561
22,122711.03623378195
23,184800.40608180995
24,169975.8406447267
25,183999.25292248055
26,465786.7205403451
27,361222.35470475745
28,298483.7352034049
29,313693.0975067631
30,239547.45627789185
31,298483.7352034049
32,384036.39815979486
33,728148.2202732743
34,703433.0065303172
