,Coin_Name,Amount_Invested,Final_Amount
0,aeon,17241.37931,28017.241378749986
1,agoras-tokens,17241.37931,87345.62469416094
2,artbyte,17241.37931,59975.60435892317
3,auroracoin,17241.37931,37399.64704126657
4,bitbean,17241.37931,66806.6311460425
5,bitcrystals,17241.37931,40988.19906273852
6,bitsend,17241.37931,22703.9945369307
7,blackcoin,17241.37931,33300.376424886825
8,blitzcash,17241.37931,44004.255210598814
9,burst,17241.37931,115874.90828821802
10,cloakcoin,17241.37931,50668.54327836735
11,counterparty,17241.37931,44014.17236301013
12,crown,17241.37931,45092.83819538462
13,internet-of-people,17241.37931,51085.56832592591
14,ion,17241.37931,41211.10176536588
15,korecoin,17241.37931,34978.517130511165
16,memetic,17241.37931,64058.94538647508
17,mercury,17241.37931,84251.41627601394
18,monetaryunit,17241.37931,45373.04377002455
19,myriad,17241.37931,114776.6059840514
20,neoscoin,17241.37931,38823.245719020975
21,nexium,17241.37931,34088.169419160506
22,okcash,17241.37931,23759.572292740442
23,omni,17241.37931,62148.15347942799
24,pesetacoin,17241.37931,46845.14569189935
25,pinkcoin,17241.37931,45454.54545363635
26,potcoin,17241.37931,39506.46161104198
27,radium,17241.37931,50019.481783531104
28,rise,17241.37931,47431.47991744169
29,salus,17241.37931,46217.030694864654
30,sequence,17241.37931,41932.59016751735
31,shift,17241.37931,66322.67807569343
32,sibcoin,17241.37931,44485.39089145038
33,sphere,17241.37931,28357.531759868416
34,stealthcoin,17241.37931,71544.13289124564
35,synereo,17241.37931,54737.30120380746
36,transfercoin,17241.37931,31701.89098935483
37,triggers,17241.37931,48146.335820888984
38,trust,17241.37931,32806.790092983036
39,vcash,17241.37931,31538.365489172236
40,viacoin,17241.37931,42744.25287270835
41,whitecoin,17241.37931,75083.31608404897
42,decent,17241.37931,28487.92412238331
43,diamond,17241.37931,35019.157087422216
44,digitalnote,17241.37931,127056.20010733823
45,dopecoin,17241.37931,80497.25838893643
46,energycoin,17241.37931,26630.792883280246
47,expanse,17241.37931,37179.73415452513
48,feathercoin,17241.37931,25514.393023811546
49,florincoin,17241.37931,63414.976936036466
50,foldingcoin,17241.37931,124882.48197807268
51,gambit,17241.37931,57025.3666258908
52,global-currency-reserve,17241.37931,97483.1623779964
53,golos,17241.37931,36481.62165199685
54,gridcoin,17241.37931,45397.99504927789
55,gulden,17241.37931,36932.08388146865
56,databits,17241.37931,31299.042943556098
57,hempcoin,17241.37931,346202.6363617262
