,Coin_Name,Amount_Invested,Final_Amount
0,aeon,15960.65,23255.165820312483
1,agoras-tokens,16581.14,151557.03831968104
2,artbyte,17127.47,81731.91857118085
3,auroracoin,16424.92,34050.11793197564
4,bitbean,16607.49,83275.92630672028
5,bitcrystals,17402.86,47960.800397481056
6,bitsend,16675.09,22453.58653465347
7,blackcoin,17051.23,37783.79160462116
8,blitzcash,16441.51,71626.14380810616
9,burst,17429.85,187330.32601396268
10,cloakcoin,17138.7,56063.03615160351
11,counterparty,16930.08,38748.0774529667
12,crown,17397.54,43493.850000000006
13,internet-of-people,17243.91,48467.450740740715
14,ion,17272.02,45356.60536585368
15,korecoin,17229.86,36716.666517571866
16,memetic,17474.41,65098.98562249988
17,mercury,17470.81,72287.82890786158
18,monetaryunit,17417.15,70383.82607475824
19,myriad,17500.57,114481.04467956856
20,neoscoin,17501.23,48158.97905594403
21,nexium,16110.49,38861.05922243184
22,okcash,17409.27,24093.96117825051
23,omni,16916.27,57882.60235908144
24,pesetacoin,17514.76,46759.1095309225
25,pinkcoin,17360.93,45475.39919656018
26,potcoin,17017.89,37648.70388735759
27,radium,17034.29,56155.413644067805
28,rise,17340.33,78679.11675583538
29,salus,17221.27,114528.77086620258
30,sequence,17460.35,45406.78700502831
31,shift,17384.83,81975.18379562045
32,sibcoin,17122.3,59731.99312977093
33,sphere,17483.6,35542.31842105263
34,stealthcoin,17273.13,77189.4138347917
35,synereo,17374.24,59589.69207974684
36,transfercoin,17437.62,36000.24774193546
37,triggers,17512.6,77068.16008702031
38,trust,17415.5,31663.115463007463
39,vcash,17510.93,31303.447258033008
40,viacoin,17446.1,52459.45347222223
41,whitecoin,17350.2,83336.52204650835
42,decent,17415.01,34737.162897389215
43,diamond,17198.75,35047.23055555557
44,digitalnote,17520.78,188319.64895032792
45,dopecoin,17428.42,82224.28759168863
46,energycoin,17390.7,31736.001694951476
47,expanse,17470.53,72517.33960893852
48,feathercoin,17473.36,25776.25572782079
49,florincoin,17392.96,50174.36361896283
50,foldingcoin,17488.61,102056.16933458687
51,gambit,17534.07,58623.248405172395
52,global-currency-reserve,17468.73,93820.80325112109
53,golos,17315.05,46421.77256789715
54,gridcoin,17470.15,48097.19903883272
55,gulden,17524.65,37121.15301510135
56,databits,17513.61,35585.089193370826
57,hempcoin,17419.16,298003.00413435564
