Coin Name,Invested ($),Returns (%),Final ($)
Komodo,38952.45,134.9308225798,91511.3112
Ark,39493.01,436.7529031087,211979.8777
BitBay,40221.2,88.2722345927,75725.35202
Blocknet,40529.61,218.3761758379,129036.6224
byteball,40554.01,592.0016656799,280634.4247
Decentraland,40554.96,169.3149077203,109220.5531
Decred,40800.85,148.6724288832,101460.4647
DigixDAO,41319.39,246.3302454368,143101.5448
Edgeless,41426.18,585.435228399,283949.6315
Einsteinium,41659.04,140.3121288921,100111.7259
Factom,41744.86,243.573163738,143424.1362
Groestlcoin,41758.57,312.3138689855,172176.3756
Monaco,41924.87,267.1726755503,153936.6669
MonaCoin,42119.01,289.7260275111,164148.7445
NAV-Coin,42525.98,256.507460851,151608.2915
Nexus,42596.09,259.4059405452,153092.8779
PIVX,42602.46,328.2828282686,182459.0206
ReddCoin,42629.56,1305.0359712838,598960.6524
SALT,42637.83,224.3169399099,138281.7055
Siacoin,42671.4,535.1087941806,271009.814
SingularDTV,42684.43,104.6395272937,87349.21578
Syscoin,42735.36,244.0505375408,147031.2358
Vertcoin,42922.31,90.6329113927,81824.04919
ZCoin,42936.58,289.8918083369,167406.2082
