Coin Name,Invested ($),Returns (%),Final Amount ($)
Aeon,16519.37,48.83,24585.47
Agoras-Tokens,16730.84,674.65,129605.35
ArtByte,16740.49,379.63,80291.65
Auroracoin,16795.14,93.58,32511.81
BitBean,16889.93,351.98,76339.38
Bitcrystals,16915.12,186.95,48537.76
BitSend,16967.41,42.57,24191.16
BlackCoin,16987.98,129.90,39055.44
Blitzcash,17000.43,369.75,79858.74
Burst,17053.2,972.02,182814.50
CloakCoin,17075.57,244.90,58893.29
Counterparty,17106.64,143.99,41739.21
Crown,17111.74,148.46,42516.09
Internet-of-People,17130.91,102.12,34625.22
ION,17151.14,112.94,36521.67
korecoin,17151.69,95.48,33527.27
memetic,17158.28,1057.72,198644.57
Mercury,17165.25,423.98,89942.83
MonetaryUnit,17169.18,106.91,35524.27
Myriad,17189.93,216.65,54431.20
NeosCoin,17223.48,62.05,27911.11
Nexium,17233.38,230.45,56947.73
OKCash,17242.87,577.62,116840.28
Omni,17251.01,197.85,51381.31
Pesetacoin,17259.9,473.32,98953.70
PinkCoin,17269.52,180.58,48454.48
PotCoin,17270.48,193.68,50719.66
Radium,17295.48,123.67,38685.61
Rise,17298.03,1729.27,316428.15
SaluS,17299.64,195.04,51040.24
Sequence,17307.19,163.46,45596.93
Shift,17323.89,133.44,40440.73
SIBCoin,17324.97,287.32,67103.03
Sphere,17328.93,319.60,72711.44
Stealthcoin,17366.4,231.98,57653.19
Synereo,17371,687.55,136805.01
TransferCoin,17371.76,210.61,53958.87
Triggers,17376.98,172.77,47399.98
trust,17385.94,42.85,24836.64
Vcash,17386.58,233.79,58033.98
Viacoin,17389.99,164.01,45911.08
WhiteCoin,17391.18,183.13,49239.77
DECENT,17400.66,124.47,39059.22
Diamond,17411.74,252.43,61364.75
DigitalNote,17415.37,331.08,75074.70
DopeCoin,17417.78,637.42,128442.80
Energycoin,17426.17,157.26,44831.05
Expanse,17429.67,434.69,93194.94
Feathercoin,17430.45,289.23,67845.11
FlorinCoin,17432.84,112.54,37051.99
FoldingCoin,17438.06,276.94,65730.80
Gambit,17444.58,265.45,63751.27
Global-Currency-Reserve,17450.91,118.90,38199.19
Golos,17453.12,342.52,77233.51
GridCoin,17460.89,91.33,33407.89
Gulden,17466.97,76.56,30840.21
Databits,17470.81,188.93,50479.28
HempCoin,17471.15,333.40,75720.67
