Coin Name,Invested($),Returns,Final Amount($)
Bitswift,49936.9,120.70,110211.21
Blitzcash,50467.4,369.75,237068.30
Breakout-Stake,51205.75,135.86,120774.40
Bytecent,51748.49,136.97,122628.81
CannabisCoin,51770.34,247.42,179859.89
e-Gulden,52378.43,169.28,141046.07
eboostcoin,52446.67,120.61,115700.30
EuropeCoin,52541.27,71.65,90186.13
EverGreenCoin,52710.47,144.32,128780.38
ExclusiveCoin,52750.37,271.08,195745.22
GeoCoin,52902.78,164.44,139898.62
Influxcoin,52970.01,124.13,118723.60
Magi,53004.96,190.44,153949.04
Project-Decorum,53101.44,81.30,96273.56
SpreadCoin,53356.93,148.30,132486.87
Syndicate,53594.78,268.74,197625.73
Synergy,54143.22,87.50,101518.54
TrustPlus,54400.1,187.62,156467.55
UnbreakableCoin,54569.71,1219.85,720237.05
