Coin Name,Invested,Returns(%),Final Amount($)
Aeon,15960.65,48.828125,23753.94
Agoras-Tokens,16581.14,674.65,128445.70
ArtByte,17127.47,379.63,82147.71
Auroracoin,16424.92,93.58,31795.14
BitBean,16607.49,351.98,75062.80
Bitcrystals,17402.86,186.95,49937.33
BitSend,16675.09,42.57,23774.39
BlackCoin,17051.23,129.90,39200.85
Blitzcash,16441.51,369.75,77233.24
Burst,17429.85,972.02,186852.28
CloakCoin,17138.7,244.90,59111.03
Counterparty,16930.08,143.99,41308.42
Crown,17397.54,148.46,43226.20
Internet-of-People,17243.91,101.29,34710.05
ION,17272.02,111.62,36551.79
korecoin,17229.86,92.21,33117.15
memetic,17474.41,1043.65,199846.91
Mercury,17470.81,415.13,89997.77
MonetaryUnit,17417.15,103.55,35451.96
Myriad,17500.57,211.75,54558.81
NeosCoin,17501.23,59.87,27979.82
Nexium,16110.49,252.67,56817.45
OKCash,17409.27,573.08,117178.98
Omni,16916.27,205.30,51644.89
Pesetacoin,17514.76,465.55,99054.75
PinkCoin,17360.93,176.89,48071.17
PotCoin,17017.89,198.20,50746.56
Radium,17034.29,127.85,38813.36
Rise,17340.33,1719.38,315486.53
SaluS,17221.27,198.33,51376.92
Sequence,17460.35,162.99,45918.30
Shift,17384.83,133.68,40625.04
SIBCoin,17122.3,299.12,68339.36
Sphere,17483.6,323.29,74005.78
Stealthcoin,17273.13,238.59,58485.86
Synereo,17374.24,701.63,139277.22
TransferCoin,17437.62,214.43,54829.03
Triggers,17512.6,153.03,44311.50
trust,17415.5,43.99,25076.33
Vcash,17510.93,224.98,56907.89
Viacoin,17446.1,167.05,46589.00
WhiteCoin,17350.2,185.30,49500.40
DECENT,17415.01,121.00,38487.95
Diamond,17198.75,251.41,60438.05
DigitalNote,17520.78,329.54,75258.29
DopeCoin,17428.42,633.63,127860.94
Energycoin,17390.7,160.07,45227.78
Expanse,17470.53,435.32,93522.77
Feathercoin,17473.36,283.74,67051.45
FlorinCoin,17392.96,114.93,37382.70
FoldingCoin,17488.61,273.83,65377.78
Gambit,17534.07,263.65,63763.17
Global-Currency-Reserve,17468.73,119.50,38344.01
Golos,17315.05,349.53,77836.28
GridCoin,17470.15,91.55,33464.69
Gulden,17524.65,77.24,31060.78
Databits,17513.61,189.16,50642.15
HempCoin,17419.16,333.67,75542.25
