Coin Name,Invested Amount($),Returns(%),Final Amount ($)
Bitswift,54220.91,120.70,119666.06
Blitzcash,53459.63,369.75,251124.17
Breakout-Stake,53185.88,135.86,125444.75
Bytecent,54884.07,136.97,130059.22
CannabisCoin,55041.81,247.42,191225.6
e-Gulden,55281.38,100.36,110763.34
eboostcoin,41186.32,196.49,122112.72
EuropeCoin,55130.58,71.65,94630.64
EverGreenCoin,54990.89,144.32,134351.82
ExclusiveCoin,55143.75,271.08,204626.53
GeoCoin,55070.66,164.44,145631.47
Influxcoin,54715.11,124.13,122634.96
Magi,55324.05,190.44,160684.67
Project-Decorum,36559.12,81.30,66282.13
SpreadCoin,54386.5,148.30,135043.33
Syndicate,54424.57,268.74,200685.5
Synergy,48148.01,87.50,90277.52
TrustPlus,53677.63,187.62,154389.56
UnbreakableCoin,55169.11,1219.85,728148.22
